epoch,train_entropy,train_mce,val_entropy,val_mce
0,2.463738,0.868333,2.447605,0.868000
1,4.162375,0.900000,4.192334,0.900000
2,3.078525,0.828000,3.133128,0.841000
3,2.564943,0.713000,2.636918,0.711000
4,2.280086,0.638333,2.371169,0.640000
5,2.094766,0.591000,2.204036,0.592000
6,1.957845,0.556667,2.083438,0.547000
7,1.846419,0.526333,1.986627,0.526000
8,1.749283,0.506333,1.902718,0.506000
9,1.661200,0.489333,1.826703,0.492000
10,1.579691,0.473667,1.756351,0.483000
11,1.503102,0.458333,1.690296,0.471000
12,1.430466,0.442667,1.627835,0.457000
13,1.361251,0.426667,1.568643,0.439000
14,1.295144,0.409333,1.512548,0.422000
15,1.231950,0.397333,1.459409,0.410000
16,1.171527,0.380667,1.409070,0.397000
17,1.113757,0.368333,1.361341,0.390000
18,1.058522,0.352667,1.316002,0.381000
19,1.005690,0.339667,1.272823,0.368000
20,0.955135,0.324000,1.231597,0.351000
21,0.906770,0.311333,1.192202,0.339000
22,0.860553,0.296333,1.154583,0.330000
23,0.816457,0.284667,1.118709,0.322000
24,0.774448,0.269667,1.084532,0.316000
25,0.734479,0.260333,1.051987,0.309000
26,0.696487,0.248667,1.020999,0.296000
27,0.660407,0.237667,0.991502,0.290000
28,0.626164,0.226000,0.963449,0.285000
29,0.593678,0.213000,0.936785,0.276000
30,0.562856,0.201000,0.911408,0.265000
31,0.533564,0.192000,0.887184,0.254000
32,0.505683,0.182333,0.864074,0.248000
33,0.479147,0.174000,0.842085,0.238000
34,0.453883,0.167333,0.821189,0.233000
35,0.429829,0.159000,0.801347,0.228000
36,0.406927,0.151333,0.782523,0.224000
37,0.385128,0.145333,0.764675,0.222000
38,0.364382,0.138000,0.747756,0.213000
39,0.344642,0.131333,0.731719,0.208000
40,0.325858,0.125667,0.716522,0.199000
41,0.307984,0.118000,0.702126,0.197000
42,0.290974,0.113667,0.688498,0.192000
43,0.274785,0.109000,0.675600,0.189000
44,0.259378,0.101000,0.663398,0.185000
45,0.244719,0.095333,0.651856,0.184000
46,0.230780,0.090333,0.640941,0.181000
47,0.217530,0.085667,0.630620,0.178000
48,0.204942,0.081667,0.620861,0.176000
49,0.192986,0.074667,0.611633,0.171000
50,0.181630,0.071333,0.602906,0.165000
51,0.170843,0.068333,0.594655,0.163000
52,0.160599,0.065000,0.586864,0.157000
53,0.150879,0.060667,0.579530,0.155000
54,0.141672,0.057333,0.572663,0.153000
55,0.132969,0.053000,0.566267,0.151000
56,0.124755,0.049667,0.560338,0.148000
57,0.117012,0.045000,0.554866,0.147000
58,0.109724,0.043333,0.549825,0.147000
59,0.102888,0.041000,0.545140,0.147000
60,0.096489,0.037000,0.540718,0.146000
61,0.090490,0.031667,0.536527,0.146000
62,0.084864,0.030667,0.532568,0.145000
63,0.079594,0.028333,0.528848,0.146000
64,0.074666,0.026000,0.525370,0.146000
65,0.070068,0.024333,0.522131,0.143000
66,0.065786,0.022333,0.519124,0.143000
67,0.061803,0.019333,0.516336,0.142000
68,0.058100,0.016333,0.513752,0.137000
69,0.054658,0.013333,0.511357,0.136000
70,0.051459,0.011000,0.509139,0.135000
71,0.048486,0.009333,0.507083,0.135000
72,0.045723,0.007333,0.505180,0.134000
73,0.043155,0.007000,0.503418,0.133000
74,0.040767,0.006000,0.501788,0.136000
75,0.038546,0.005667,0.500283,0.135000
76,0.036481,0.004000,0.498896,0.134000
77,0.034558,0.003667,0.497620,0.134000
78,0.032767,0.003000,0.496451,0.134000
79,0.031099,0.002667,0.495383,0.134000
80,0.029545,0.002667,0.494412,0.134000
81,0.028095,0.002667,0.493532,0.134000
82,0.026743,0.002667,0.492739,0.135000
83,0.025481,0.002000,0.492029,0.135000
84,0.024303,0.002000,0.491397,0.135000
85,0.023204,0.001667,0.490836,0.135000
86,0.022179,0.001000,0.490343,0.131000
87,0.021221,0.001000,0.489911,0.131000
88,0.020327,0.000667,0.489535,0.130000
89,0.019492,0.000667,0.489213,0.130000
90,0.018711,0.000000,0.488938,0.127000
91,0.017980,0.000000,0.488708,0.127000
92,0.017296,0.000000,0.488520,0.127000
93,0.016654,0.000000,0.488370,0.127000
94,0.016052,0.000000,0.488256,0.125000
95,0.015487,0.000000,0.488176,0.125000
96,0.014956,0.000000,0.488126,0.126000
97,0.014456,0.000000,0.488105,0.126000
98,0.013986,0.000000,0.488111,0.126000
99,0.013542,0.000000,0.488141,0.126000
100,0.013123,0.000000,0.488194,0.125000
101,0.012728,0.000000,0.488268,0.125000
102,0.012353,0.000000,0.488361,0.125000
103,0.011999,0.000000,0.488472,0.124000
104,0.011664,0.000000,0.488600,0.125000
105,0.011345,0.000000,0.488743,0.125000
106,0.011042,0.000000,0.488899,0.126000
107,0.010755,0.000000,0.489069,0.126000
108,0.010481,0.000000,0.489250,0.126000
109,0.010220,0.000000,0.489441,0.126000
110,0.009971,0.000000,0.489643,0.125000
111,0.009733,0.000000,0.489853,0.124000
112,0.009505,0.000000,0.490070,0.124000
113,0.009288,0.000000,0.490295,0.124000
114,0.009079,0.000000,0.490525,0.124000
115,0.008879,0.000000,0.490760,0.123000
116,0.008686,0.000000,0.490998,0.124000
117,0.008502,0.000000,0.491239,0.123000
118,0.008324,0.000000,0.491481,0.123000
119,0.008153,0.000000,0.491723,0.123000
120,0.007989,0.000000,0.491965,0.123000
121,0.007831,0.000000,0.492205,0.123000
122,0.007678,0.000000,0.492444,0.123000
123,0.007531,0.000000,0.492682,0.123000
124,0.007390,0.000000,0.492917,0.123000
125,0.007254,0.000000,0.493152,0.122000
126,0.007123,0.000000,0.493385,0.122000
127,0.006996,0.000000,0.493618,0.121000
128,0.006874,0.000000,0.493850,0.119000
129,0.006756,0.000000,0.494083,0.119000
130,0.006643,0.000000,0.494316,0.119000
131,0.006533,0.000000,0.494549,0.119000
132,0.006426,0.000000,0.494783,0.119000
133,0.006324,0.000000,0.495018,0.119000
134,0.006224,0.000000,0.495253,0.119000
135,0.006128,0.000000,0.495489,0.119000
136,0.006034,0.000000,0.495725,0.119000
137,0.005944,0.000000,0.495963,0.119000
138,0.005856,0.000000,0.496201,0.119000
139,0.005770,0.000000,0.496439,0.119000
140,0.005687,0.000000,0.496678,0.119000
141,0.005607,0.000000,0.496917,0.119000
142,0.005529,0.000000,0.497157,0.119000
143,0.005453,0.000000,0.497396,0.119000
144,0.005379,0.000000,0.497636,0.119000
145,0.005307,0.000000,0.497876,0.119000
146,0.005237,0.000000,0.498116,0.119000
147,0.005169,0.000000,0.498356,0.119000
148,0.005102,0.000000,0.498596,0.119000
149,0.005037,0.000000,0.498835,0.120000
150,0.004974,0.000000,0.499074,0.120000
